1	Fragmanlarını	fragman	Noun	Noun	A3pl|P3pl|Acc	2	OBJECT
2	_	izle	Verb	Verb	Pos	3	DERIV
3	izlediğimde	_	Noun	PastPart	A3sg|P1sg|Loc	5	MODIFIER
4	çok	çok	Adverb	Adverb	_	5	DETERMINER
5	beğenmiştim	beğen	Verb	Verb	Pos|Narr|Past|A1sg	0	PREDICATE
6	.	.	Punc	Punc	_	5	PUNCTUATION



1	Şunu	şu	Pron	Demons	A3sg|Pnon|Acc	2	OBJECT
2	düşündüm	düşün	Verb	Verb	Pos|Past|A1sg	12	COORDINATION
3	bu	bu	Det	Det	_	4	DETERMINER
4	film	film	Noun	Noun	A3sg|Pnon|Nom	7	MODIFIER
5	Amerika	Amerika	Noun	Prop	A3sg|Pnon|Nom	6	POSSESSOR
6	yapımı	yapım	Noun	Noun	A3sg|P3sg|Nom	7	SUBJECT
7	olsaydı	ol	Verb	Verb	Pos|Desr|Past|A3sg	12	MODIFIER
8	Levet	Levet	Noun	Prop	A3sg|Pnon|Nom	9	MWE
9	Üzümcü	üzümcü	Noun	Noun	A3sg|Pnon|Nom	12	MODIFIER
10	Oscar	Oscar	Noun	Prop	A3sg|Pnon|Nom	11	POSSESSOR
11	adayı	aday	Noun	Noun	A3sg|P3sg|Nom	12	SUBJECT
12	olabilirdi	ol	Verb	Verb	Able|Pos|Aor|Past|A3sg	23	COORDINATION
13	çünkü	çünkü	Conj	Conj	_	12	CONJUNCTION
14	Forseps	forseps	Noun	Noun	A3sg|Pnon|Nom	15	MWE
15	Güm	güm	Noun	Noun	A3sg|Pnon|Nom	23	MODIFIER
16	benzeri	benzeri	Adj	Adj	_	17	MODIFIER
17	yada	yada	Noun	Noun	A3sg|Pnon|Nom	23	SUBJECT
18	Yağmur	yağmur	Noun	Noun	A3sg|Pnon|Nom	19	MWE
19	Adam	adam	Noun	Noun	A3sg|Pnon|Nom	20	POSSESSOR
20	tadında	tat	Noun	Noun	A3sg|P3sg|Loc	22	MODIFIER
21	bir	bir	Adj	Num	_	22	DETERMINER
22	_	film	Noun	Noun	A3sg|Pnon|Nom	23	DERIV
23	filmdi	_	Verb	Zero	Past|A3sg	0	PREDICATE
24	.	.	Punc	Punc	_	23	PUNCTUATION



1	Hiçbir	hiçbir	Det	Det	_	3	DETERMINER
2	yabancı	yabancı	Noun	NAdj	A3sg|Pnon|Nom	3	MODIFIER
3	filmle	film	Noun	Noun	A3sg|Pnon|Ins	5	MODIFIER
4	de	de	Conj	Conj	_	3	INTENSIFIER
5	kıyaslamayın	kıyasla	Verb	Verb	Neg|Imp|A2pl	0	PREDICATE
6	.	.	Punc	Punc	_	5	PUNCTUATION



1	Bence	ben	Pron	Pers	A1sg|Pnon|Equ	5	MODIFIER
2	film	film	Noun	Noun	A3sg|Pnon|Nom	5	SUBJECT
3	çok	çok	Adverb	Adverb	_	4	DETERMINER
4	_	hoş	Adverb	Adverb	_	5	DERIV
5	hoştu	_	Verb	Zero	Past|A3sg	9	COORDINATION
6	ne	ne	Adj	Adj	_	7	MODIFIER
7	_	bekle	Verb	Verb	Pos	8	DERIV
8	bekleyerek	_	Adverb	ByDoingSo	_	9	MODIFIER
9	gidiyor	git	Verb	Verb	Pos|Prog1|A3sg	13	COORDINATION
10	_	beğen	Verb	Verb	Neg	11	DERIV
11	_	_	Adj	PresPart	_	12	DERIV
12	beğenmeyenler	_	Noun	Zero	A3pl|Pnon|Nom	13	OBJECT
13	anlamadım	anla	Verb	Verb	Neg|Past|A1sg	23	COORDINATION
14	,	,	Punc	Punc	_	13	PUNCTUATION
15	bizim	biz	Pron	Pers	A1pl|Pnon|Gen	16	POSSESSOR
16	paralarımızla	para	Noun	Noun	A3pl|P1pl|Ins	17	MODIFIER
17	_	devleş	Verb	Verb	Pos	18	DERIV
18	devleşen	_	Adj	PresPart	_	20	MODIFIER
19	yabancı	yabancı	Noun	NAdj	A3sg|Pnon|Nom	20	MODIFIER
20	film	film	Noun	Noun	A3sg|Pnon|Nom	21	POSSESSOR
21	sektörünün	sektör	Noun	Noun	A3sg|P3sg|Gen	23	SUBJECT
22	bol	bol	Adj	Adj	_	23	MODIFIER
23	hareketli	hareketli	Adj	Adj	_	30	COORDINATION
24	ve	ve	Conj	Conj	_	23	CONJUNCTION
25	_	efekt	Noun	Noun	A3sg|Pnon|Nom	26	DERIV
26	efektli	_	Adj	With	_	28	MODIFIER
27	fi	fi	Adj	Adj	_	28	MODIFIER
28	limlerinden	lim	Noun	Noun	A3pl|P3pl|Abl	29	MODIFIER
29	hoşlanıyorsanız	hoşlan	Verb	Verb	Pos|Prog1|Cond|A2pl	30	MODIFIER
30	gitmeyin	git	Verb	Verb	Neg|Imp|A2pl	0	PREDICATE
